"Texto","Sarcasmo"
"El fin de semana pasado salí con mis amigos y la pasamos genial.","0"
"Me encanta reunirme con mis amigos para ponernos al día y compartir buenos momentos.","0"
"Este sábado tengo una quedada con amigos y estamos planeando una cena juntos.","0"
"Siempre que nos reunimos con mis amigos, las conversaciones son muy divertidas.","0"
"Anoche salimos a cenar con mis amigos y disfrutamos mucho de la comida.","0"
"Este viernes organizamos una reunión en casa de uno de mis amigos.","0"
"Me encanta pasar tiempo con mis amigos, siempre nos reímos mucho.","0"
"El fin de semana hicimos una barbacoa y la pasamos genial todos juntos.","0"
"Mis amigos y yo estamos planeando una escapada de fin de semana.","0"
"El sábado fuimos al cine con mis amigos y luego salimos a tomar algo.","0"
"Este fin de semana nos juntamos en casa de un amigo para ver una película.","0"
"Nos reunimos en un parque con mis amigos para pasar la tarde juntos.","0"
"Ayer tuve una cena con amigos y fue un buen momento para ponernos al día.","0"
"La semana pasada organizamos una tarde de juegos de mesa con mis amigos.","0"
"Me gusta cuando podemos reunirnos después del trabajo para charlar y relajarnos.","0"
"Este fin de semana hicimos una excursión con mis amigos a la montaña.","0"
"Siempre que salgo con mis amigos, nos divertimos mucho sin importar el plan.","0"
"Mis amigos y yo solemos hacer reuniones en nuestras casas para cenar juntos.","0"
"Nos gusta explorar nuevos restaurantes cuando nos reunimos con amigos.","0"
"Hace poco organizamos una noche de karaoke y fue muy divertido.","0"
"El domingo pasado fuimos al parque a hacer un picnic con los amigos.","0"
"Mis amigos y yo planeamos una reunión mensual para no perder el contacto.","0"
"Este fin de semana tenemos una cena en casa de uno de mis amigos más cercanos.","0"
"Ayer salimos a tomar un café con mis amigos y nos quedamos charlando por horas.","0"
"Siempre es un buen momento cuando nos juntamos con mis amigos del colegio.","0"
"El sábado hicimos una noche de pizzas caseras con amigos y fue muy divertido.","0"
"Me gusta organizar cenas temáticas cuando mis amigos vienen a casa.","0"
"Este fin de semana mis amigos y yo vamos a salir a bailar.","0"
"Nos encanta probar recetas nuevas cuando hacemos reuniones en casa.","0"
"El viernes nos reunimos para jugar videojuegos y pasar el rato.","0"
"Hemos planeado una salida para el próximo fin de semana con mis amigos.","0"
"Me gusta cuando nos reunimos todos los amigos que no nos vemos tan seguido.","0"
"Este fin de semana haremos una reunión al aire libre con mis amigos.","0"
"Mis amigos y yo estamos organizando una fiesta sorpresa para un amigo.","0"
"Nos encanta salir a tomar algo después del trabajo para relajarnos.","0"
"Hemos decidido hacer una maratón de películas este fin de semana con amigos.","0"
"Nos reunimos el fin de semana para ver un partido y comer juntos.","0"
"Este sábado planeamos hacer una caminata con mis amigos por el campo.","0"
"Nos encanta descubrir nuevos cafés cuando salimos con amigos.","0"
"Este domingo haremos una reunión familiar con amigos cercanos.","0"
"Me gusta cómo, a pesar del tiempo, seguimos reuniéndonos con mis amigos de la infancia.","0"
"Este viernes tenemos planeado salir a cenar todos juntos.","0"
"El fin de semana pasado jugamos al fútbol con mis amigos en el parque.","0"
"Nos encanta organizar cenas entre semana para charlar y relajarnos.","0"
"Este fin de semana organizamos una tarde de películas con mis amigos.","0"
"La semana pasada nos reunimos en un bar para ver un partido de fútbol.","0"
"Este sábado tenemos una tarde de juegos de mesa planeada con los amigos.","0"
"Nos encanta improvisar planes de última hora cuando nos reunimos.","0"
"Este mes he ahorrado más de lo que esperaba, lo cual es una buena noticia.","0"
"Tengo un plan de ahorro que sigo cada mes para mis metas a largo plazo.","0"
"Invertí una parte de mis ahorros en un fondo de inversión.","0"
"Me gusta llevar un control de mis gastos para evitar sorpresas a final de mes.","0"
"He empezado a investigar sobre cómo invertir mejor mi dinero.","0"
"El banco me ofreció una cuenta con mejores tasas de interés para mis ahorros.","0"
"Es importante tener un fondo de emergencia para cualquier imprevisto.","0"
"Este año he sido más consciente de cómo gasto mi dinero.","0"
"Siempre intento hacer una lista de compras para evitar gastar de más.","0"
"He empezado a reducir los gastos innecesarios para poder ahorrar más.","0"
"Es importante tener un presupuesto mensual para controlar las finanzas.","0"
"Pagué todas mis deudas este mes y ahora me siento más aliviado.","0"
"Invertir en educación financiera ha sido una de las mejores decisiones que he tomado.","0"
"Me gusta ahorrar para poder darme algún capricho de vez en cuando.","0"
"Siempre reviso las ofertas antes de hacer una compra grande.","0"
"Llevo un registro de mis ingresos y gastos para no perder el control de mis finanzas.","0"
"Este mes decidí invertir en criptomonedas por primera vez.","0"
"Me gusta ahorrar poco a poco para no sentir tanta presión económica.","0"
"He empezado a usar aplicaciones de finanzas personales para gestionar mi dinero.","0"
"Logré negociar una mejor tarifa para mis facturas mensuales.","0"
"Este año quiero enfocarme en ahorrar más y gastar menos.","0"
"Es importante diversificar las inversiones para no depender de una sola fuente.","0"
"Abrí una cuenta de ahorro con el propósito de comprar una casa en el futuro.","0"
"Me estoy preparando para mi jubilación, así que estoy invirtiendo a largo plazo.","0"
"He empezado a leer libros sobre finanzas para aprender a gestionar mejor mi dinero.","0"
"Me siento más tranquilo sabiendo que tengo un plan financiero para los próximos años.","0"
"Este mes pagué todas mis tarjetas de crédito y me siento mucho más libre.","0"
"Hacer un presupuesto familiar nos ha ayudado a controlar mejor los gastos en casa.","0"
"Prefiero ahorrar en efectivo para algunas compras grandes.","0"
"Estoy aprendiendo a invertir en la bolsa y a manejar los riesgos.","0"
"Me gusta planificar mis finanzas a largo plazo para evitar sorpresas.","0"
"He estado buscando formas de generar ingresos pasivos.","0"
"Intento separar un porcentaje de mis ingresos cada mes para el ahorro.","0"
"Este año me he propuesto reducir mis gastos en entretenimiento.","0"
"He conseguido una tasa de interés baja para el préstamo de mi coche.","0"
"Estoy aprendiendo a ser más disciplinado con mis hábitos de consumo.","0"
"Pagar las facturas a tiempo me ayuda a mantener mi crédito en buen estado.","0"
"El ahorro automático ha sido una excelente forma de juntar dinero sin darme cuenta.","0"
"Me gusta mantener un fondo de emergencia para cualquier imprevisto que surja.","0"
"Este mes he reducido considerablemente mis gastos en compras impulsivas.","0"
"Invertir en mi educación es una de las mejores formas de usar mi dinero.","0"
"He decidido apartar una parte de mis ingresos para donaciones y causas sociales.","0"
"Tengo un plan financiero que sigo de manera constante para alcanzar mis metas.","0"
"He aprendido a decir 'no' a compras que no son realmente necesarias.","0"
"Me siento satisfecho al ver que mis ahorros han crecido este año.","0"
"Este mes conseguí ahorrar un poco más ajustando mis gastos en transporte.","0"
"He buscado asesoría financiera para mejorar mi estrategia de ahorro.","0"
"Ahora que tengo un presupuesto más claro, puedo planificar mejor mis vacaciones.","0"
"He comenzado a buscar formas de ahorrar más en mis facturas de servicios públicos.","0"
"El partido de ayer fue muy emocionante, ambos equipos jugaron muy bien.","0"
